,precision,recall,f1-score,support
current,0.9565217391304348,0.8918918918918919,0.9230769230769231,74.0
next_week,0.9210526315789473,0.9459459459459459,0.9333333333333333,74.0
next_month,0.9594594594594594,0.922077922077922,0.9403973509933775,77.0
three_months,0.9452054794520548,0.9261744966442953,0.9355932203389831,149.0
six_months,0.9667318982387475,0.9840637450199203,0.9753208292201382,502.0
accuracy,0.9577625570776256,0.9577625570776256,0.9577625570776256,0.9577625570776256
macro avg,0.9497942415719288,0.9340308003159951,0.9415443313925509,876.0
weighted avg,0.9577099442523745,0.9577625570776256,0.9575335628993914,876.0
