,precision,recall,f1-score,support
current,0.9452054794520548,0.9324324324324325,0.9387755102040817,74.0
next_week,0.9324324324324325,0.9324324324324325,0.9324324324324325,74.0
next_month,0.9324324324324325,0.9324324324324325,0.9324324324324325,74.0
three_months,0.9459459459459459,0.9459459459459459,0.9459459459459459,148.0
six_months,0.9730250481695568,0.974903474903475,0.973963355834137,518.0
accuracy,0.9594594594594594,0.9594594594594594,0.9594594594594594,0.9594594594594594
macro avg,0.9458082676864844,0.9436293436293436,0.9447099353698059,888.0
weighted avg,0.9594281311163091,0.9594594594594594,0.9594396464833165,888.0
